1,734,1
2,1270,1
3,2277,1
4,3250,1
5,234,2
6,3274,3
7,73,4
8,1090,5
9,1374,5
10,1420,5
11,2544,5
12,2917,5
13,1374,6
14,3560,7
15,1076,8
16,1150,9
17,1907,9
18,2237,10
19,2615,10
20,3358,11
21,2989,12
22,247,13
23,293,13
24,558,13
25,676,13
26,892,13
27,1085,13
28,1184,13
29,1201,13
30,1678,13
31,1904,13
32,1951,13
33,2188,13
34,2270,13
35,2486,13
36,2881,13
37,2892,13
38,3798,13
39,3731,14
40,2179,15
41,2520,15
42,3107,15
43,3107,15
44,3549,15
45,2489,16
46,2727,16
47,2733,16
48,2965,16
49,3437,16
50,2955,17
51,415,18
52,1058,19
53,1268,19
54,1306,19
55,1784,19
56,2354,19
57,297,20
58,1309,20
59,1532,20
60,1616,20
61,2049,20
62,2052,20
63,2253,20
64,2432,20
65,2826,20
66,3160,20
67,3280,20
68,1256,21
69,1338,21
70,2275,22
71,3842,23
72,3885,24
73,816,25
74,923,25
75,1566,25
76,1838,25
77,1841,25
78,1988,25
79,2463,25
80,2663,25
81,3062,25
82,3234,25
83,3248,26
84,3321,27
85,1961,28
86,1000,29
87,12,30
88,814,30
89,919,30
90,1085,30
91,1275,30
92,1348,30
93,1406,30
94,1447,30
95,1840,30
96,2279,30
97,2282,30
98,2706,30
99,2790,30
100,3438,30
101,3900,30
102,3394,31
103,1896,32
104,2185,32
105,3392,33
106,2720,34
107,267,35
108,3521,36
109,507,37
110,3875,38
111,3849,39
112,3343,40
113,133,41
114,298,42
115,629,42
116,1180,42
117,1187,42
118,1415,42
119,3430,42
120,1561,43
121,889,44
122,1058,44
123,65,45
124,2702,46
125,2912,46
126,3380,46
127,2063,47
128,2336,47
129,2422,47
130,2855,47
131,2925,47
132,2986,47
133,3060,47
134,3266,47
135,3400,47
136,3409,47
137,3450,47
138,3474,47
139,3522,47
140,3817,47
141,3836,47
142,3983,47
143,519,48
144,157,49
145,210,49
146,849,50
147,998,51
148,3658,52
149,282,53
150,121,54
151,2284,55
152,204,56
153,1593,57
154,2647,57
155,36,58
156,39,58
157,152,58
158,248,58
159,420,58
160,480,58
161,642,58
162,827,58
163,1059,58
164,1113,58
165,1232,58
166,1280,58
167,1516,58
168,1615,58
169,1808,58
170,1921,58
171,2019,58
172,2047,58
173,2224,58
174,2430,58
175,2561,58
176,2629,58
177,2666,58
178,2677,58
179,2900,58
180,3098,58
181,3183,58
182,3288,58
183,3370,58
184,3401,58
185,3423,58
186,3667,58
187,76,59
188,1661,59
189,2791,59
190,2798,59
191,3167,59
192,1345,60
