1,1;14;18
2,4;6;7
3,6;7;18
4,4;7;12
5,2;8;9
6,1;2;16
7,6;7
8,1;2;7
9,1;2;9
10,1;2;7
11,5;7;15
12,7;14;16
13,6;7;14
14,7;15;18
15,1;11;16
16,2;5;8
17,3;2;5
18,6;7
19,6;7;18
20,7;11;16
21,11;14
22,7;12
23,3;2;5
24,1;6;14
25,5;6;13
26,5;15
27,1;2;5
28,11;14;18
29,7;14;18
30,1;2;5
31,3;2;8
32,5;7;15
33,7;15
34,1;7;16
35,5;7
36,5;7;15
37,1;2;16
38,1;7;10
39,5;15
40,1;2;16
41,5;7;15
42,6;18
43,7;14;15
44,1;11;16
45,5;9
46,5;7;15
47,1;2;9
48,6;7;18
49,1;2;18
50,5;15
51,7;15
52,1;2;18
53,3;2;7
54,1;2;7
55,6;7;18
56,6;14;18
57,7;18
58,1;2;9
59,5;7;15
60,4;7;15
61,2;5;8
62,1;6;18
63,11
64,11;18
65,7
66,2;5;8
67,5;15
68,1;7;18
69,7;8;17
70,5;7;15
71,7
72,6;7;15
73,7;9;11
74,5
75,5;6;7
76,6;7;14
77,5;8;9
78,7
79,5;7
80,1;11;18
81,4;5;6
82,6;7;18
83,5;15
84,5;15
85,1;2;5
86,7;15;17
87,5
88,6;7;18
89,1;6;7
90,7;14;15
91,7;10;18
92,7;14;15
93,5;7;15
94,7;19
95,6;7;14
96,1;2;5
97,3;2;5
98,7;15
99,4;6;7
100,1;6;7
101,7;11;14
102,7
103,5;7;11
104,5;7
105,4;5;7
106,2;5;8
107,7;8;9
108,5;9;11
109,1;5
110,1;2;11
111,5;7;15
112,6;7
113,5;7;15
114,1;5;16
115,11;14;16
116,4;7
117,6;7;14
118,5;15
119,2;7;15
120,2;5;7
121,5;7;15
122,6;7;18
123,5
124,5;7;9
125,7;15
126,5;15
127,5;6;7
128,6;18
129,5;7;16
130,7
131,11;18
132,1;6;7
133,1;7;19
134,11
135,5;7
136,5;7;15
137,7;8
138,7;13;15
139,1;5;16
140,7;18
141,4;7
142,4;6;7
143,1;6;7
144,1;5
145,5;7
146,7;15
147,7;11;19
148,3;2;8
149,6;7;18
150,1;2;7
151,1;5;18
152,3;5;13
153,5
154,1;7;18
155,7;14;18
156,2;5;8
157,6;7;14
158,3;2;5
159,1;2;5
160,7;15
161,5;6;13
162,7;18
163,7
164,5;6;18
165,7;9;14
166,1;16;17
167,5;12
168,5;7;17
169,1;11;14
170,5;7;15
171,7;15;18
172,5;15
173,6;7;14
174,7
175,7;15;18
176,7;14;18
177,5;8;9
178,5;15
179,7
180,7;9;10
181,5;7
182,11;14;18
183,7
184,5;6
185,7;11;14
186,1;5;6
187,7;15
188,5;7;15
189,2;7;14
190,5;8;12
191,1;6;7
192,5;7;12
193,3;1;2002
194,4;6;7
195,6;11;18
196,1;5;6
197,5;7
198,6;7;14
199,5;7;15
200,7;10;19
201,7
202,1;2;7
203,1;2;9
204,5;12
205,7;15
206,1;7;14
207,2;5;8
208,1;6;7
209,6;7;14
210,5;15
211,3;2;5
212,5;7;15
213,5
214,2;8;9
215,1;2;7
216,5;7
217,6;7;14
218,1;6;18
219,2;5;8
220,2;5;7
221,2;7;9
222,1;16
223,11
224,1;16;18
225,1;7
226,11;18
227,4;6;7
228,1;9;18
229,6;7;18
230,14;18
231,1;16
232,7
233,5;9
234,11;18
235,5;7;15
236,1;6
237,7
238,1;2;6
239,6;7
240,2;7;15
241,1;16
242,1;6;18
243,1;2;9
244,5;8
245,1;2;5
246,5;8;9
247,1;2;16
248,5
249,1;5;6
250,5
251,1;16
252,5;15
253,7
254,6;11
255,1;7;18
256,11
257,1;2;5
258,1;11
259,3;2;5
260,6;7;14
261,1;18
262,1;2;5
263,6;7;18
264,5;7;8
265,14;18
266,9;11;14
267,1;7;15
268,7;15
269,5
270,5;7;15
271,6;7;14
272,4;7;15
273,1;6;18
274,6;7;18
275,1;6;7
276,2;18;20
277,5;7;8
278,11;14;18
279,5;8
280,1;6;18
281,1;2;5
282,2;5;8
283,7;11;14
284,5;6;7
285,5;15
286,6;7;18
287,1;2;9
288,4;7;17
289,5;7;12
290,5
291,1;2;16
292,5;8;9
293,1;14;16
294,3;2;5
295,7;11;16
296,3;2;5
297,1;2;5
298,2;5;17
299,5;6
300,5;7
301,6;7;14
302,7;10;17
303,1;2;5
304,5;6;7
305,5;7;15
306,6;7
307,5;6;15
308,7;10
309,1;6;7
310,4;7;10
311,5;12
312,1;2;5
313,2;7;11
314,5
315,5;6;15
316,7;12;15
317,1;5;6
318,7;10
319,7
320,5;7;13
321,5;7;12
322,5
323,5;7;15
324,5;7
325,5;15
326,1;2;11
327,1;6;7
328,5;15;7
329,11
330,4;7;10
331,5;6;7
332,2;11;14
333,5
334,6;7
335,4;7;10
336,3;2;5
337,7;14;18
338,7;15
339,7;15
340,7;15
341,5
342,1;5;9
343,5;7;15
344,4;6;7
345,3;2;5
346,7;15;18
347,7;15
348,1;2;4
349,7;15
350,2;7
351,7
352,4;5;7
353,1;5;9
354,4;6;7
355,1;5;6
356,1;6;7
357,7;15
358,5
359,5;7;15
360,5
361,11;14
362,7;6
363,1;7;15
364,1;7;15
365,3;2;5
366,5;15
367,1;7
368,5;7
369,7;11;18
370,1;5;18
371,1;7;18
372,1;4;6
373,1;5;6
374,5;15
375,5
376,5;7
377,5;6;14
378,1;7;19
379,7;18
380,5;15
381,7;11
382,7
383,7;15
384,7;15;19
385,5;6;13
386,11;14;18
387,6;18
388,5;7;15
389,5;6;7
390,7
391,5;7;13
392,2;7;15
393,1;5;6
394,7;11;14
395,5;7;9
396,5;13;15
397,3;2;5
398,5;6;7
399,7;15
400,1;2;7
401,7
402,7;15
403,7;15;16
404,2;8;9
405,5
406,3;2;5
407,1;14;18
408,7
409,11;14;18
410,3;2;8
411,5;7;15
412,3;1;2002
413,5;6
414,7;15
415,5
416,3;2;5
417,5
418,5;11
419,6;7;18
420,5;7;15
421,5;17
422,1;2;16
423,1;6;7
424,1;2;16
425,4;7;10
426,7;13;15
427,1;7;17
428,7;17
429,7;18
430,4;7
431,5;7;15
432,1;2;9
433,1;2;14
434,2;5;8
435,7;16;18
436,7;14;18
437,5;9;15
438,1;6;7
439,7;12;15
440,7;14;16
441,5
442,1;2;16
443,1;11
444,1;6;7
445,5;8;15
446,1;14;16
447,1;2;9
448,1;6;18
449,1;4;7
450,7
451,6;18
452,7;15
453,1;2;5
454,1;2;7
455,1;6;7
456,5;7;15
457,1;11;16
458,1;5
459,5;7;15
460,5;7
461,5;8;9
462,1;11;16
463,5;8;15
464,4;7;10
465,2;5
466,5;15
467,1;5;9
468,3;2;5
469,1;2;11
470,7;14;18
471,5;7;15
472,7;16;18
473,5;15
474,5;11;14
475,2;5;8
476,11;14;18
477,7;15
478,3;2;5
479,1;6;9
480,5;7;15
481,4;7;10
482,4;7;12
483,5;7
484,5;7;15
485,4;7;8
486,5;6;8
487,7
488,6;7;18
489,7;14;16
490,3;2;5
491,7
492,7;9;14
493,2;5;14
494,1;2;5
495,5;8;15
496,1;5;6
497,7;14;15
498,5;8;15
499,7;12;15
500,5;11;16
501,5;6
502,6;14;18
503,1;2;11
504,1;6;18
505,5;11;18
506,7;15;16
507,11;14;18
508,1;6
509,7;15
510,4;7;15
511,6;7;15
512,7;12
513,11;14;18
514,7
515,2;4;7
516,7
517,7;15
518,1;2;7
519,5;8;12
520,5;6;18
521,5
522,5
523,5;15
524,1;5;15
525,6;11;18
526,5;7;12
527,6;7
528,1;2;7
529,5;7;13
530,6;7;17
531,5;7;15
532,1;2;4
533,7;15
534,7
535,3;7;15
536,6;7;14
537,6;7
538,11;14;18
539,7;10;19
540,5;6;7
541,3;2;5
542,7;14;15
543,1;5;6
544,7;13
545,1;2;14
546,5
547,4;7
548,1;2;5
549,5;7;15
550,1;5;6
551,4;7;10
552,8;12;13
553,5;15
554,5;7;15
555,7
556,7;15
557,5;15;17
558,6;11;14
559,1;9;11
560,5;7;12
561,1;6;7
562,7;15
563,11
564,1;6;16
565,1;6;18
566,1;2;9
567,5;6;18
568,5
569,5;7;15
570,5;8;9
571,5;7
572,7;15
573,7;14;16
574,7;16;18
575,1;7;18
576,7;8;13
577,5;7;15
578,5;7
579,7
580,1;2;5
581,1;6;7
582,5;15
583,4;7;15
584,5;8
585,7;11
586,5;8;16
587,5;7;9
588,6;7
589,6;7
590,1;6;11
591,5;7;15
592,6;7;15
593,7;17;18
594,7
595,2;5;16
596,1;7;15
597,1;2;5
598,11;18
599,3;7;14
600,5;7;9
601,7;15
602,7
603,2;8;9
604,1;9;11
605,1;2;7
606,1;6;7
607,2;8;9
608,1;2;9
609,6;18
610,2;5;8
611,1;5;8
612,1;2;7
613,5;15
614,1;7;16
615,7;15
