152,Albert,Dupontel,13
153,Albert,Finney,221 816 1067
154,Alberto,Ammann,1594
155,Alberto,Ferreiro,1995
156,Alberto,Reyes,665
157,Alberto,San Juan,1915
158,Alden,Ehrenreich,2315 2898 3217
159,Aldis,Hodge,2896 3608 3800
160,Alec,Baldwin,219 339 732 738 869 1354 1447 1488 2054 2066 2301 2512 2670 2766 2944 3101 3525 3988
161,Alec,Berg,417
162,Alec,Secareanu,3105
163,Aleisha,Allen,714
164,Alejandra,Howard,3777
165,Aleks,Mikic,2899
166,Aleksandr,Pal,3503
167,Aleksandra,Konieczna,3600
168,Aleksey,Agranovich,3503
169,Aleksey,Chadov,3580
170,Aleksey,Serebryakov,2592 3801
171,Alessandro,Gassmann,703
172,Alessandro,Nivola,179 769 1349 2513 3047 3846
173,Alessio,Boni,347
174,Alex,Cox,3919
175,Alex,Esmail,1919
176,Alex,Essoe,2593
177,Alex,Etel,1161
178,Alex,Fisher,1243
179,Alex,Frost,263 1386
180,Alex,Hassell,3901
181,Alex,Huff,2948
182,Alex,Jennings,924 2743
183,Alex,Kendrick,981 1946
184,Alex,Lutz,3962
185,Alex,MacNicoll,3780 3862
186,Alex,Macqueen,2217
187,Alex,Neustaedter,3903
188,Alex,O'Loughlin,1701
189,Alex,Palmer,20
190,Àlex,Pastor,1552
191,Alex,Pettyfer,988 1885 1968 2025 2485
192,Alex,R. Hibbert,2834
193,Alex,Reid,622
194,Alex,Roe,3111 3173 3321
195,Alex,Russell,2061 3104
196,Alex,Sharp,3548 3644
197,Alex,van Warmerdam,2393
198,Alex,Veadov,2132
199,Alex,Vincent,3199
200,Alex,Winter,3676
201,Alex,Wolff,3201 3807 3849
202,Alexa,Davalos,1238
203,Alexa,Demie,3528
204,Alexa,PenaVega,85 257 498 1311 2296
205,Alexander,Dreymon,3698
206,Alexander,England,3546
207,Alexander,Fehling,3190
208,Alexander,Gould,211
209,Alexander,Koch,3768
210,Alexander,Ludwig,1529 2706 3651 3862
211,Alexander,Morton,1550
212,Alexander,Payne,929
213,Alexander,Petrov,3990
214,Alexander,Polinsky,378
215,Alexander,Scheer,3950
216,Alexander,Siddig,1307
217,Alexander,Skarsgård,1855 1908 2017 2715 2722 2858 3328 3386 3847
218,Alexandra,Corin Johnston,3274
219,Alexandra,Daddario,1704 2274 2276 2653 2901 3009 3114 3334 3482 3760
220,Alexandra,Holden,332
221,Alexandra,Lamy,1542
222,Alexandra,Maria Lara,425 1119 2234 3062
223,Alexandra,Park,3200
224,Alexandra,Shipp,3693 3896
225,Alexandre,Belin,487
226,Alexandre,Rodrigues,7
227,Alexandre,Tharaud,2128
228,Alexandru,Potocean,1155
229,Alexie,Gilmore,1384
230,Alexis,Bledel,107 649 1321 2184
231,Alexis,Clagett,1741
232,Alexis,Dziena,1278
233,Alexis,Georgoulis,1546
234,Alexis,Louder,4000
235,Alexis,Servaes,3815
236,Alexis,Zegerman,1393
237,Alexxis,Lemire,3718
238,Alexz,Johnson,842
239,Alfie,Allen,2401
240,Alfonso,Cuarón,929
241,Alfre,Woodard,995 2479 3992
242,Alfred,Molina,60 335 442 1500 1651 1668 1985
243,Algee,Smith,3174
244,Ali,Afshar,2945
245,Ali,Hillis,930
246,Ali,Larter,234 1072 1495 1677 2908
247,Ali,Sivandi,3171
248,Ali,Wong,3429
249,Alia,Shawkat,2204 2382 2649 3545
250,Alice,Bahlke,2691
251,Alice,Barrett,1717
252,Alice,Braga,1032 1671 1772 1926 2231 3639
253,Alice,Englert,2315
254,Alice,Eve,1665 2124 2157 2495 2978 3338
255,Alice,Feetham,3886
256,Alice,Greczyn,662
257,Alice,Isaaz,2759
258,Alice,Krige,3691
259,Alicia,Keys,1305
260,Alicia,Rodríguez,2168
261,Alicia,Silverstone,752
262,Alicia,Vikander,2146 2410 2498 2613 2654 2810 2931 3150 3261 3830
263,Alicia,Witt,67 1162
264,Alina,Lanina,3155
265,Aline,Küppenheim,2168
266,Alisha,Wainwright,3906
267,Alison,Brie,2125 2718 2737 2942 3102 3603 3674 3749
268,Alison,Lohman,130 284 740 1429
269,Alison,Pill,1135 1898 2526
270,Alison,Sudol,2830 3570
271,Alistair,Abell,2863
272,Alistair,Petrie,2362 3956
273,Allan,Gildea,200
274,Allegra,Masters,2708
275,Allen,Covert,39 859
